FID,Long_deg_NAD83,Lat_deg_NAD83,Location,State,Deposit_type,Map_unit,Ref_source,Comments
1,-115.8682057,38.36521629,Abel Springs,NV,Travertine,Qt,Ayling_2020, 
2,-112.0044515,43.03592228,Alkali Flats Warm Springs,ID,Travertine,Sedimentary rocks (Permian and Pennsylvanian),"Ross, 1971","IGS mapped spring. Digitized travertine in vicinity of mapped spring. Includes portions of Sections 28 and 33 in T4S, R38E.  Location appears to coincide with Alkali Flats Warm Springs in IGS database. TRS is in Bingham, not Bonneville County as Ross (1971)"
3,-117.3382194,37.82560417,Alkali Hot Spring,NV,Travertine,Qt,Ball_1901;Albers and Stewart_1972, 
4,-117.3370205,37.82420427,Alkali Hot Spring,NV,Sinter,Qssi,Faulds_2020,"Silica sinter and sulfur stains (sample collected), and mudpots"
5,-117.3381594,37.82477785,Alkali Hot Spring,NV,Travertine,Qt,Faulds_2020,Mound slightly elongate to NNE (70 x 50 m)
6,-117.335912,37.82303937,Alkali Hot Spring,NV,Explosion craters, ,Faulds_2020, 
7,-118.7261275,39.2122326,Allen Springs,NV,Silica-cemented sand,Qss,Ayling and Hinz_2019, 
8,-118.5340779,42.54388753,Alvord Hot Springs,OR,Sulfate crust, ,Faulds_2020,No sinter or travertine-just sulfate crusts
9,-120.195632,40.301396,Amedee Hot Springs,CA,Travertine,Qt,"Feth and Barnes, 1979; Russell,1895","Location not field validated. Lassen, Sec. 8, T. 28 N., R. 16 E., Active, Water deposits limited amounts of travertine"
10,-119.690212,42.501367,Antelope Hot Spring (Hart Mountain Hot Springs),OR,Travertine,Qt,"Waring,1965","Location not field validated. Lake, Sec. 32, T. 35 S., R 26 E., Unknown, Travertine occurs"
11,-119.6905174,42.50145164,Antelope Hot Spring (Hart Mountain Hot Springs),OR,Sinter,Qssi,Faulds_2020,Opaline sinter with some carbonate
